[SETTINGS]
#map_size(width)	map_size(height)
1524	780
# type :0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
#Obj_type	x	y	ani_set

[MapObj]
#widht height path
46	94	QuadTree\map3.txt
[OBJECTS]
# ENEMY
11	1390	94	3013
11	1423	158	3013
11	1086	365	3013
#2	100	100	305
#2	110	110	304
3	60	60	3012
4	70	70	3006
5	80	80	3001
6	90	90	3011
7	50	50	3009
8	60	70	3010
9	80	80	3015
10	90	90	3003
11	100	100	3013
5	1008	254	3001
3	879	360	3012
#2	1017	416	304
5	638	318	3001
3	688	432	3012
3	479	480	3012
#2	415	496	305
#2	239	496	305
3	63	544	3012
5	349	638	3001
4	349	687	3006
3	625	638	3012
5	636	573	3001
4	653	687	3006
3	715	597	3012
3	910	597	3012
3	974	597	3012
#2	797	626	304
#2	820	626	304
